category,display_name,id,source,source_id,parent_id,nlm_id,cde_steward,cde_identifiers,cde_value
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 70%,sleepo2lt70,,,,,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 75%,sleepo2lt75,,,,,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 80%,sleepo2lt80,,,,,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 85%,sleepo2lt85,,,,,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 88%,sleepo2lt88,,,,,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 90%,sleepo2lt90,,,,,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 92%,sleepo2lt92,,,,,,,
08G1 - Sleep Study Data - Oxygen Saturation - Percent Time,Percent sleep time oxygen saturation < 95%,sleepo2lt95,,,,,,,
08G2 - Sleep Study Data - Oxygen Saturation - Average,Average oxygen saturation during sleep,avgo2duringsleep,,,,mnzdehDYbZQ,NINDS,NINDS: C11020 v3; NINDS Variable Name: PolysomOxygSaturatMeanVal,
08G2 - Sleep Study Data - Oxygen Saturation - Average,Average oxygen saturation with respiratory events,avgo2respevents,,,,,,,
08G3 - Sleep Study Data - Oxygen Saturation - Nadir,Nadir oxygen saturation during sleep,nadiro2duringsleep,,,,,,,
08G3 - Sleep Study Data - Oxygen Saturation - Nadir,Nadir oxygen saturation with respiratory events,nadiro2respevents,,,,,,,
08G4 - Sleep Study Data - Oxygen Saturation -  Indices,Oxygen desaturation index,o2desatindex,SNOMED CT,103228002,,,,,
08H - Sleep Study Data - Heart Rate,Average heart rate,avgheartrate,,,,,,,
08I - Sleep Study Data - Electrocardiogram - Arrhythmia,Atrial fibrillation - polysomonogram - paroxysmal,afibpsgparox,,,,,,,
08I - Sleep Study Data - Electrocardiogram - Arrhythmia,Atrial fibrillation - polysomonogram - persistent,afibpsgpersist,,,,,,,
08J - Sleep Study Data - Quality,Quality of sleep study,sleepstudyquality,,,,,,,
08J - Sleep Study Data - Quality,Signal quality code,signalqualitycode,,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Capnograph type,capnotype,,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Hours of usable CO2,hoursco2,,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Average end-tidal CO2 - NREM,avgco2nrem,,,,AH5roROU2KR,NINDS,NINDS: C12452 v3; NINDS Variable Name: PolysmngrphyETCO2NoREMSlpVal,
08K - Sleep Study Data - End-Tidal CO2,Average end-tidal CO2 - NREM - normalized for capnograph type,avgco2nremnorm,,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Average end-tidal CO2 - REM,avgco2rem,,,,PFHWEPUcXdP,NINDS,NINDS: C12451 v3; NINDS Variable Name: PolysmngrphyETCO2REMSlpVal,
08K - Sleep Study Data - End-Tidal CO2,Average end-tidal CO2 - REM - normalized for capnograph type,avgco2remnorm,,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Baseline end-tidal CO2 - asleep,baseco2asleep,,,,EbF40zoTMEf,NINDS,NINDS: C12456 v3; NINDS Variable Name: PolysmngrphyTcCO2TtlSlpVal,
08K - Sleep Study Data - End-Tidal CO2,Baseline end-tidal CO2 - asleep - normalized for capnograph type,baseco2asleepnorm,,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Baseline end-tidal CO2 - awake,baseco2awake,,,,55_g6TkzPNn,NINDS,NINDS: C12453 v3; NINDS Variable Name: PolysmngrphyETCO2AwakeVal,
08K - Sleep Study Data - End-Tidal CO2,Baseline end-tidal CO2 - awake - normalized for capnograph type,baseco2awakenorm,,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Peak end-tidal CO2 - asleep,peakco2asleep,,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Peak end-tidal CO2 - asleep - normalized for capnograph type,peakco2asleepnorm,,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Percentage of total sleep time where end-tidal CO2 > 45 mmHg,percentco2gt45,,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Percentage of total sleep time where end-tidal CO2 > 45 mmHg - normalized for capnograph type,percentco2gt45norm,,,,,,,
08K - Sleep Study Data - End-Tidal CO2,Percentage of total sleep time where end-tidal CO2 > 50 mmHg,percentco2gt50,,,,BJdnOtUp2ej,NINDS,NINDS: C12423 v3; NINDS Variable Name: PulmGasExEndTidTrnCO2Ab50Val,
08K - Sleep Study Data - End-Tidal CO2,Percentage of total sleep time where end-tidal CO2 > 50 mmHg - normalized for capnograph type,percentco2gt50norm,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: # of Good Days,gooddays5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: # of Invalid Nights,nightsinvalid5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: # of Nights Recorded,nightsrec5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: # of Valid Nights,nightsvalid5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: # of Weekdays,weekdays5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: # of Weekend Days,weekenddays5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: Data Collection End Time,timeend5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: Data Collection Start Time,timestart5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: Days From Exam 5 To Study Date,stdyady5c,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: Diary Completeness,diarycomplete5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: Diary Present,diarypresent5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: Overall Quality Grading,actquality5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: Overall Quality Grading (QS),overallqual5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy QS: Sleep Journal Received,sleepjournal5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Duration Rest,dur_avg_rest5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Sleep % Sleep,pslp_avg_sleep5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Sleep % Wake,pwake_avg_sleep5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Sleep Efficiency (%),eff_avg_sleep5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Sleep Number Of Wake Bouts,wake_bouts_avg_sleep5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Sleep Onset Latency (Minutes),latency_avg_sleep5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Sleep Sleep Time (Minutes),slptime_avg_sleep5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Sleep Wake Time (Minutes),wake_avg_sleep5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Average Sleep Waso (Minutes),waso_avg_sleep5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Bedtime,mbedt5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Bedtime Weekdays,mbedtwk5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Bedtime Weekend,mbedtend5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Mid-Sleep Time [The Midpoint Between Sleep Onset And Offset],mmidslpt5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Mid-Sleep Time Std Dev,smidslpt5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Mid-Sleep Time Weekday,mmidslptwk5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Mid-Sleep Time Weekday Std Dev,smidslptwk5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Mid-Sleep Time Weekend,mmidslptend5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Mid-Sleep Time Weekend Std Dev,smidslptend5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Wake Time,mwaket5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Wake Time Weekdays,mwaketwk5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Mean Wake Time Weekend,mwaketend5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Number Of Weekday Days Efficiency,neffwk5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Number Of Weekday Days Sleep,nslpwk5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Number Of Weekend Days Efficiency,neffend5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Number Of Weekend Days Sleep,nslpend5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Std Dev Sleep Sleep Time (Minutes),slptime_std_sleep5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekday Efficiency CV,ceffend5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekday Efficiency Mean,meffwk5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekday Efficiency Std Dev,seffwk5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekday Sleep CV,cslpend5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekday Sleep Mean,mslpwk5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekday Sleep Mean (In Hours),mslpwkhr5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekday Sleep Std Dev,sslpwk5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekend Efficiency CV,ceffwk5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekend Efficiency Mean,meffend5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekend Efficiency Std Dev,seffend5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekend Sleep CV,cslpwk5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekend Sleep Mean,mslpend5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekend Sleep Mean (In Hours),mslpendhr5,,,,,,,
08L - Sleep Study Data - Actigraphy,Actigraphy Report: Weekend Sleep Std Dev,sslpend5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average 24 Hour Sleep Across All Days (Minutes),avg24hrsleep5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average 24 Hour Sleep Across All Non-Workday Days (Minutes),avg24hrsleepnw5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average 24 Hour Sleep Across All Reliable Days (Minutes),avg24hrsleeprd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average 24 Hour Sleep Across All Weekday Days (Minutes),avg24hrsleepwd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average 24 Hour Sleep Across All Weekend Days (Minutes),avg24hrsleepwe5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average 24 Hour Sleep Across All Workday Days (Minutes),avg24hrsleepwo5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Activity Count Per Minute In Active Intervals Across All Days (Activity Counts),avgactactive5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Activity Count Per Minute In Main Sleep Periods Across All Days (Activity Counts),avgactmainsleep5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Activity Count Per Minute In Nap Periods Across All Days (Activity Counts),avgactnaps5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Activity Count Per Minute Over 24-Hour Periods Across All Days (Activity Counts),avgact24hr5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Blue Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Day (Minutes),avgbluetalt5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Blue Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Non-Workday Day (Minutes),avgbluetaltnw5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Blue Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Reliable Day (Minutes),avgbluetaltrd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Blue Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Weekday Day (Minutes),avgbluetaltwd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Blue Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Weekend Day (Minutes),avgbluetaltwe5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Blue Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Workday Day (Minutes),avgbluetaltwo5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Clock Time To Get In Bed For Main Sleep Across All Days (hh:hm:ss),avginbedtime5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Clock Time To Get In Bed For Main Sleep Across All Non-Workday Days (hh:hm:ss),avginbedtimenw5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Clock Time To Get In Bed For Main Sleep Across All Reliable Days (hh:hm:ss),avginbedtimerd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Clock Time To Get In Bed For Main Sleep Across All Weekday Days (hh:hm:ss),avginbedtimewd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Clock Time To Get In Bed For Main Sleep Across All Weekend Days (hh:hm:ss),avginbedtimewe5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Clock Time To Get In Bed For Main Sleep Across All Workday Days (hh:hm:ss),avginbedtimewo5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Fragmentation Index In Main Sleeps Across All Days (Percent),avgfragmentation5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Fragmentation Index In Main Sleeps Across All Non-Workday Days (Percent),avgfragmentationnw5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Fragmentation Index In Main Sleeps Across All Reliable Days (Percent),avgfragmentationrd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Fragmentation Index In Main Sleeps Across All Weekday Days (Percent),avgfragmentationwd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Fragmentation Index In Main Sleeps Across All Weekend Days (Percent),avgfragmentationwe5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Fragmentation Index In Main Sleeps Across All Workday Days (Percent),avgfragmentationwo5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Green Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Day (Minutes),avggreentalt5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Green Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Non-Workday Day (Minutes),avggreentaltnw5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Green Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Reliable Day (Minutes),avggreentaltrd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Green Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Weekday Day (Minutes),avggreentaltwd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Green Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Weekend Day (Minutes),avggreentaltwe5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Green Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Workday Day (Minutes),avggreentaltwo5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average In Bed Interval Duration From Main Sleeps Across All Days (Minutes),avginbedduration5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average In Bed Interval Duration From Main Sleeps Across All Non-Workday Days (Minutes),avginbeddurationnw5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average In Bed Interval Duration From Main Sleeps Across All Reliable Days (Minutes),avginbeddurationrd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average In Bed Interval Duration From Main Sleeps Across All Weekday Days (Minutes),avginbeddurationwd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average In Bed Interval Duration From Main Sleeps Across All Weekend Days (Minutes),avginbeddurationwe5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average In Bed Interval Duration From Main Sleeps Across All Workday Days (Minutes),avginbeddurationwo5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Day When All Naps Are Counted (Naps/Day),avgnnapsall5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Day When Only Naps With >=15 Minutes Of Sleep Time Are Counted (Naps/Day),avgnnapssleep155,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Day When Only Naps With Some Sleep Are Counted (Naps/Day),avgnnapssleep5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Non-Workday Day When All Naps Are Counted (Naps),avgnnapsallnw5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Non-Workday Day When Only Naps With >=15 Minutes Of Sleep Time Are Counted (Naps),avgnnapssleep15nw5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Non-Workday Day When Only Naps With Some Sleep Are Counted (Naps),avgnnapssleepnw5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Reliable Day When All Naps Are Counted (Naps),avgnnapsallrd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Reliable Day When Only Naps With >=15 Minutes Of Sleep Time Are Counted (Naps),avgnnapssleep15rd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Reliable Day When Only Naps With Some Sleep Are Counted (Naps),avgnnapssleeprd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Weekday Day When All Naps Are Counted (Naps),avgnnapsallwd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Weekday Day When Only Naps With >=15 Minutes Of Sleep Time Are Counted (Naps),avgnnapssleep15wd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Weekday Day When Only Naps With Some Sleep Are Counted (Naps),avgnnapssleepwd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Weekend Day When All Naps Are Counted (Naps),avgnnapsallwe5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Weekend Day When Only Naps With >=15 Minutes Of Sleep Time Are Counted (Naps),avgnnapssleep15we5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Weekend Day When Only Naps With Some Sleep Are Counted (Naps),avgnnapssleepwe5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Workday Day When All Naps Are Counted (Naps),avgnnapsallwo5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Workday Day When Only Naps With >=15 Minutes Of Sleep Time Are Counted (Naps),avgnnapssleep15wo5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Number Of Naps Per Workday Day When Only Naps With Some Sleep Are Counted (Naps),avgnnapssleepwo5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Red Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Day (Minutes),avgredtalt5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Red Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Non-Workday Day (Minutes),avgredtaltnw5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Red Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Reliable Day (Minutes),avgredtaltrd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Red Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Weekday Day (Minutes),avgredtaltwd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Red Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Weekend Day (Minutes),avgredtaltwe5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Red Light Time Above 1000 Microwatts Per Square Centimeter Threshold Per Workday Day (Minutes),avgredtaltwo5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Bouts In Main Sleep Periods Across All Days (Sleep Bouts),avgsleepbouts5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Bouts In Main Sleep Periods Across All Non-Workday Days (Sleep Bouts),avgsleepboutsnw5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Bouts In Main Sleep Periods Across All Reliable Days (Sleep Bouts),avgsleepboutsrd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Bouts In Main Sleep Periods Across All Weekday Days (Sleep Bouts),avgsleepboutswd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Bouts In Main Sleep Periods Across All Weekend Days (Sleep Bouts),avgsleepboutswe5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Bouts In Main Sleep Periods Across All Workday Days (Sleep Bouts),avgsleepboutswo5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Efficiency In Main Sleeps Across All Days (Percent),avgefficiency5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Efficiency In Main Sleeps Across All Non-Workday Days (Percent),avgefficiencynw5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Efficiency In Main Sleeps Across All Reliable Days (Percent),avgefficiencyrd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Efficiency In Main Sleeps Across All Weekday Days (Percent),avgefficiencywd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Efficiency In Main Sleeps Across All Weekend Days (Percent),avgefficiencywe5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Efficiency In Main Sleeps Across All Workday Days (Percent),avgefficiencywo5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Maintenance Efficiency In Main Sleeps Across All Days (Percent),avgmainteff5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Maintenance Efficiency In Main Sleeps Across All Non-Workday Days (Percent),avgmainteffnw5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Maintenance Efficiency In Main Sleeps Across All Reliable Days (Percent),avgmainteffrd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Maintenance Efficiency In Main Sleeps Across All Weekday Days (Percent),avgmainteffwd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Maintenance Efficiency In Main Sleeps Across All Weekend Days (Percent),avgmainteffwe5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Maintenance Efficiency In Main Sleeps Across All Workday Days (Percent),avgmainteffwo5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Onset Latency Time In Main Sleeps Across All Days In Minutes (Minutes),avgonsetlatency5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Onset Latency Time In Main Sleeps Across All Non-Workday Days In Minutes (Minutes),avgonsetlatencynw5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Onset Latency Time In Main Sleeps Across All Reliable Days In Minutes (Minutes),avgonsetlatencyrd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Onset Latency Time In Main Sleeps Across All Weekday Days (Minutes),avgonsetlatencywd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Onset Latency Time In Main Sleeps Across All Weekend Days In Minutes (Minutes),avgonsetlatencywe5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Onset Latency Time In Main Sleeps Across All Workday Days In Minutes (Minutes),avgonsetlatencywo5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Period Duration From Main Sleeps Across All Days (Minutes),avgsleepperiodduration5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Period Duration From Main Sleeps Across All Non-Workday Days (Minutes),avgsleepperioddurationnw5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Period Duration From Main Sleeps Across All Reliable Days (Minutes),avgsleepperioddurationrd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Period Duration From Main Sleeps Across All Weekday Days (Minutes),avgsleepperioddurationwd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Period Duration From Main Sleeps Across All Weekend Days (Minutes),avgsleepperioddurationwe5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Period Duration From Main Sleeps Across All Workday Days (Minutes),avgsleepperioddurationwo5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Time In Main Sleep Periods Across All Days (Minutes),avgmainsleep5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Time In Main Sleep Periods Across All Non-Workday Days (Minutes),avgmainsleepnw5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Time In Main Sleep Periods Across All Reliable Days (Minutes),avgmainsleeprd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Time In Main Sleep Periods Across All Weekday Days (Minutes),avgmainsleepwd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Time In Main Sleep Periods Across All Weekend Days (Minutes),avgmainsleepwe5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Time In Main Sleep Periods Across All Workday Days (Minutes),avgmainsleepwo5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Time In Naps Per Day Across All Days In The Recording When Only Naps With >=15 Minutes Of Sleep Time Are Counted (Minutes/Day),avgsleepnapdaily155,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Time In Naps Per Day Across All Days In The Recording When Only Naps With Some Sleep Are Counted (Minutes/Day),avgsleepnapdaily5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Time In Naps Per Day Across All Non-Workday Days In The Recording When Only Naps With >=15 Minutes Of Sleep Time Are Counted (Minutes),avgsleepnapdaily15nw5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Time In Naps Per Day Across All Non-Workday Days In The Recording When Only Naps With Some Sleep Are Counted (Minutes),avgsleepnapdailynw5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Time In Naps Per Day Across All Reliable Days In The Recording When Only Naps With >=15 Minutes Of Sleep Time Are Counted (Minutes),avgsleepnapdaily15rd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Time In Naps Per Day Across All Reliable Days In The Recording When Only Naps With Some Sleep Are Counted (Minutes),avgsleepnapdailyrd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Time In Naps Per Day Across All Weekday Days In The Recording When Only Naps With >=15 Minutes Of Sleep Time Are Counted (Minutes),avgsleepnapdaily15wd5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Time In Naps Per Day Across All Weekend Days In The Recording When Only Naps With >=15 Minutes Of Sleep Time Are Counted (Minutes),avgsleepnapdaily15we5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Time In Naps Per Day Across All Weekend Days In The Recording When Only Naps With Some Sleep Are Counted (Minutes),avgsleepnapdailywe5,,,,,,,
08L - Sleep Study Data - Actigraphy,Average Sleep Time In Naps Per Day Across All Workday Days In The Recording When Only Naps With >=15 Minutes Of Sleep Time Are Counted (Minutes),avgsleepnapdaily15wo5,,,,,,,
