14 - Neurocognitive Testing/NEPSY,Developmental Neuropsychological Assessment (NEPSY) - Comprehension of Instructions,nepsycoi,nep8a_nepsy,Comprehension of Instructions: Raw Score
14 - Neurocognitive Testing/NEPSY,Developmental Neuropsychological Assessment (NEPSY) - Comprehension of Instructions,nepsycoi,nep8c_nepsy,Comprehension of Instructions: Language Scaled Scores
14 - Neurocognitive Testing/NEPSY,Developmental Neuropsychological Assessment (NEPSY) - Attention/Executive Function Domain Score,nepsyaefds,nep10b_nepsy,Core Domain Scores Attn / Exec Scaled Scores
14 - Neurocognitive Testing/NEPSY,Developmental Neuropsychological Assessment (NEPSY) - Attention/Executive Function Domain Score,nepsyaefds,nep11b_nepsy,Percentile attn / exec scaled scores
14 - Neurocognitive Testing/NEPSY,Developmental Neuropsychological Assessment (NEPSY) - Language Domain Score,nepsylds,nep10c_nepsy,Core Domain Scores Language Scaled Scores
14 - Neurocognitive Testing/NEPSY,Developmental Neuropsychological Assessment (NEPSY) - Language Domain Score,nepsylds,nep11c_nepsy,Percentile language scaled scores
14 - Neurocognitive Testing/NEPSY,Developmental Neuropsychological Assessment (NEPSY) - Arrows,nepsya,nep12a_nepsy,Please provide the scores for the Arrows sub-section Raw Score
14 - Neurocognitive Testing/NEPSY,Developmental Neuropsychological Assessment (NEPSY) - Arrows,nepsya,nep12b_nepsy,Please provide the scores for the Arrows sub-section Scaled Score
14 - Neurocognitive Testing/NEPSY-II,Developmental Neuropsychological Assessment-II (NEPSY-II) - Inhibition Naming,nepsy2in,nep2a_nepsy2,Inhibition naming total errors percentile rank
14 - Neurocognitive Testing/NEPSY-II,Developmental Neuropsychological Assessment-II (NEPSY-II) - Inhibition Naming,nepsy2in,nep2b_nepsy2,Inhibition Naming Total Completion Time Scaled Score
14 - Neurocognitive Testing/NEPSY-II,Developmental Neuropsychological Assessment-II (NEPSY-II) - Inhibition Naming,nepsy2in,nep2c_nepsy2,Inhibition Naming Combined Scaled Score
14 - Neurocognitive Testing/NEPSY-II,Developmental Neuropsychological Assessment-II (NEPSY-II) - Inhibition-Inhibition,nepsy2ii,nep3a_nepsy2,Inhibition total errors percentile rank
14 - Neurocognitive Testing/NEPSY-II,Developmental Neuropsychological Assessment-II (NEPSY-II) - Inhibition-Inhibition,nepsy2ii,nep3b_nepsy2,Inhibition - Inhibition Total Completion Time Scaled Score
14 - Neurocognitive Testing/NEPSY-II,Developmental Neuropsychological Assessment-II (NEPSY-II) - Inhibition-Inhibition,nepsy2ii,nep3c_nepsy2,Inhibition - Inhibition Combined Scaled Score
14 - Neurocognitive Testing/NEPSY-II,Developmental Neuropsychological Assessment-II (NEPSY-II) - Inhibition-Switching,nepsy2is,nep4a_nepsy2,Switching total errors percentile rank
14 - Neurocognitive Testing/NEPSY-II,Developmental Neuropsychological Assessment-II (NEPSY-II) - Inhibition-Switching,nepsy2is,nep4b_nepsy2,Inhibition - Switching Completion Time Scaled Score
14 - Neurocognitive Testing/NEPSY-II,Developmental Neuropsychological Assessment-II (NEPSY-II) - Inhibition-Switching,nepsy2is,nep4c_nepsy2,Inhibition - Switching Combined Scaled Score
14 - Neurocognitive Testing/NEPSY-II,Developmental Neuropsychological Assessment-II (NEPSY-II) - Contrast between Inhibition Naming vs. Inhibition-Inhibition,nepsy2continvsii,nep5a_nepsy2,Inhibition Naming vs. Inhibition - Inhibition Contrast Scaled Score
14 - Neurocognitive Testing/NEPSY-II,Developmental Neuropsychological Assessment-II (NEPSY-II) - Contrast between Inhibition-Inhibition vs. Inhibition-Switching,nepsy2contiivsis,nep5b_nepsy2,Inhibition - Inhibition vs. Inhibition - Switching Contrast Scaled Score
14 - Neurocognitive Testing/NEPSY-II,Developmental Neuropsychological Assessment-II (NEPSY-II) - Inhibition Total Errors,nepsy2ite,nep6_nepsy2,Inhibition Total Error Scaled Score
14 - Neurocognitive Testing/NEPSY-II,Developmental Neuropsychological Assessment-II (NEPSY-II) - Semantic Condition,nepsy2sc,nep2_nepwrd,Word Generation Semantic Total Score
14 - Neurocognitive Testing/NEPSY-II,Developmental Neuropsychological Assessment-II (NEPSY-II) - Semantic Condition,nepsy2sc,nep3_nepwrd,Word Generation Semantic Scaled Score
14 - Neurocognitive Testing/NEPSY-II,Developmental Neuropsychological Assessment-II (NEPSY-II) - Initial Letter Condition,nepsy2ilc,nep4_nepwrd,Word Generation Initial Letter Total Score
14 - Neurocognitive Testing/NEPSY-II,Developmental Neuropsychological Assessment-II (NEPSY-II) - Initial Letter Condition,nepsy2ilc,nep5_nepwrd,Word Generation Initial Letter Scaled Score
14 - Neurocognitive Testing/NEPSY-II,Developmental Neuropsychological Assessment-II (NEPSY-II) - Contrast between Semantic Condition vs. Initial Letter Condition,nepsy2contscvsilc,nep6_nepwrd,Word Generation Semantic vs. Initial Letter Contrast Scaled Score
14 - Neurocognitive Testing/Purdue Pegboard,Purdue Pegboard - Dominant Hand,purduepegdh,pup2a2,Dominant Hand Number of Pegs
14 - Neurocognitive Testing/Purdue Pegboard,Purdue Pegboard - Nondominant Hand,purduepegnh,pup2b2,Non-dominant Hand Number of Pegs
14 - Neurocognitive Testing/Purdue Pegboard,Purdue Pegboard - Both Hands,purduepegbh,pup2c2,Both Hands Number of Pegs
14 - Neurocognitive Testing/VMI,Developmental Test of Visual-Motor Integration (VMI),vmi,vmi4,Raw Score
14 - Neurocognitive Testing/VMI,Developmental Test of Visual-Motor Integration (VMI),vmi,vmi5,Standard Score
14 - Neurocognitive Testing/VMI,Developmental Test of Visual-Motor Integration (VMI),vmi,vmi6,Percentile
14 - Neurocognitive Testing/Conner's Rating Scale,Conners' Rating Scale - Caregiver - Long Version Global Index T Score,connerscarelvgitscore,con12b,Conners' GI Total T-Score
14 - Neurocognitive Testing/Conner's Rating Scale,Conners' Rating Scale - Teacher - Long Version Global Index T Score,connersteachlvgitscore,con13b_tr,Conners' GI Total T-Score
14 - Neurocognitive Testing/BRIEF,Behavior Rating of Executive Function (BRIEF) - Caregiver - Global Excecutive Composite T Score,briefcaregectscore,bri13b,GEC (BRI + MI) T score
14 - Neurocognitive Testing/BRIEF,Behavior Rating of Executive Function (BRIEF) - Teacher - Global Excecutive Composite T Score,briefteachgectscore,bri14b_tr,GEC T score
14 - Neurocognitive Testing/PedsQL,Pediatric Quality of Life Inventory (PedsQL) Score,pedsql,pedsql_emotional_score_chld,PedQL Child Emotional Function Score
14 - Neurocognitive Testing/PedsQL,Pediatric Quality of Life Inventory (PedsQL) Score,pedsql,pedsql_physical_score_chld,PedQL Child Physical Function Score
14 - Neurocognitive Testing/PedsQL,Pediatric Quality of Life Inventory (PedsQL) Score,pedsql,pedsql_physical_summary_chld,PedQL Child Physical Health Summary Score
14 - Neurocognitive Testing/PedsQL,Pediatric Quality of Life Inventory (PedsQL) Score,pedsql,pedsql_psychosocial_score_chld,PedQL Child Psychosocial Health Summary Score
14 - Neurocognitive Testing/PedsQL,Pediatric Quality of Life Inventory (PedsQL) Score,pedsql,pedsql_school_score_chld,PedQL Child School Function Score
14 - Neurocognitive Testing/PedsQL,Pediatric Quality of Life Inventory (PedsQL) Score,pedsql,pedsql_social_score_chld,PedQL Child Social Function Summary Score
14 - Neurocognitive Testing/PedsQL,Pediatric Quality of Life Inventory (PedsQL) Score,pedsql,pedsql_total_scale_score_chld,PedQL Child Total Scale Score
14 - Neurocognitive Testing/PedsQL,Pediatric Quality of Life Inventory (PedsQL) Score,pedsql,pedsql_emotional_score_par,PedQL Parent Emotional Function score
14 - Neurocognitive Testing/PedsQL,Pediatric Quality of Life Inventory (PedsQL) Score,pedsql,pedsql_physical_score_par,PedQL Parent Physical Function score
14 - Neurocognitive Testing/PedsQL,Pediatric Quality of Life Inventory (PedsQL) Score,pedsql,pedsql_physical_summary_par,PedQL Parent Physical Health Summary Score
14 - Neurocognitive Testing/PedsQL,Pediatric Quality of Life Inventory (PedsQL) Score,pedsql,pedsql_psychosocial_score_par,PedQL Parent Psychosocial Health Summary Score
14 - Neurocognitive Testing/PedsQL,Pediatric Quality of Life Inventory (PedsQL) Score,pedsql,pedsql_school_score_par,PedQL Parent School Function Score
14 - Neurocognitive Testing/PedsQL,Pediatric Quality of Life Inventory (PedsQL) Score,pedsql,pedsql_social_score_par,PedQL Parent Social Function Summary Score
14 - Neurocognitive Testing/PedsQL,Pediatric Quality of Life Inventory (PedsQL) Score,pedsql,pedsql_total_scale_score_par,PedQL Parent Total Scale Score
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - Recall of Designs,das2rod,das4a,Recall of Designs Ability Score
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - Recall of Designs,das2rod,das4b,Recall of Designs T-Score
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - Recall of Designs,das2rod,das4h,Recall of Designs Percentile
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - Word Definitions,das2wd,das5a,Word Definitions Ability Score
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - Word Definitions,das2wd,das5b,Word Definitions T-Score
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - Word Definitions,das2wd,das5h,Word Definitions Percentile
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - Pattern Construction,das2pc,das6a,Pattern Construction Ability Score
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - Pattern Construction,das2pc,das6b,Pattern Construction T-Score
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - Pattern Construction,das2pc,das6h,Pattern Construction Percentile
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - Matrices,das2m,das7a,Matrices Ability Score
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - Matrices,das2m,das7b,Matrices T-Score
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - Matrices,das2m,das7h,Matrices percentile
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - Verbal Similarities,das2vs,das8a,Verbal Similarities Ability Score
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - Verbal Similarities,das2vs,das8b,Verbal Similarities T-Score
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - Verbal Similarities,das2vs,das8h,Verbal similarities percentile
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - Sequential and Quantitative Reasoning,das2saqr,das9a,Sequential & Quantitative Reasoning Ability Score
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - Sequential and Quantitative Reasoning,das2saqr,das9b,Sequential & Quantitative Reasoning T-Score
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - Sequential and Quantitative Reasoning,das2saqr,das9h,Sequential & quantitative reasoning percentile
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - Verbal Composite,das2vc,das11c,Standard Score Verbal
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - Verbal Composite,das2vc,das12c,Percentile Verbal
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - Nonverbal Reasoning Composite,das2nrc,das11d,Standard Score Nonverbal Reasoning
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - Nonverbal Reasoning Composite,das2nrc,das12d,Percentile Nonverbal Reasoning
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - Spatial Composite,das2sc,das11e,Standard Score Spatial
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - Spatial Composite,das2sc,das12e,Percentile Spatial
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - General Cognitive Ability ,das2gca,das11f,DASII GCA
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - General Cognitive Ability ,das2gca,das12f,Percentile GCA
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - Special Nonverbal Composite ,das2snc,das11g,Standard Score SNC
14 - Neurocognitive Testing/DAS-II,Differential Ability Scales-II (DAS-II) - Special Nonverbal Composite ,das2snc,das12g,Percentile SNC
14 - Neurocognitive Testing/WRAML2,"Wide Range Assessment of Memory and Learning, Second Edition (WRAML2) - Verbal Learning",wraml2vl,wra2a,Verbal Learning Raw Score
14 - Neurocognitive Testing/WRAML2,"Wide Range Assessment of Memory and Learning, Second Edition (WRAML2) - Verbal Learning",wraml2vl,wra2b,Verbal Learning Scaled Score
14 - Neurocognitive Testing/WRAML2,"Wide Range Assessment of Memory and Learning, Second Edition (WRAML2) - Verbal Learning Recall",wraml2vlrecall,wra3a,Verbal Learning Recall Raw Score
14 - Neurocognitive Testing/WRAML2,"Wide Range Assessment of Memory and Learning, Second Edition (WRAML2) - Verbal Learning Recall",wraml2vlrecall,wra3b,Verbal Learning Recall Scaled Score
14 - Neurocognitive Testing/WRAML2,"Wide Range Assessment of Memory and Learning, Second Edition (WRAML2) - Verbal Learning Recognition",wraml2vlrecog,wra4a,Verbal Learning Recognition Raw Score
14 - Neurocognitive Testing/WRAML2,"Wide Range Assessment of Memory and Learning, Second Edition (WRAML2) - Verbal Learning Recognition",wraml2vlrecog,wra4b,Verbal Learning Recognition Scaled Score
