category,display_name,id,mros,definition,source,time,method,formula,equipment,link
04A - Medical History - Sleep Disorders,Restless legs syndrome,rlshist,slrestlg,Has a doctor or health care provider ever told you that you have restless legs?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Physician diagnosed (self reported),,Medical History Form (MrOS 1/MrOS 2),
04A - Medical History - Sleep Disorders,Sleep apnea,apneahist,slsa,Has a doctor or health care provider ever told you that you have sleep apnea (a condition in which breathing stops briefly during sleep)?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04A - Medical History - Sleep Disorders,Use of an oral appliance,oralapphist,slscap,Do you sleep with either a pressure mask ('CPAP') or a mouthpiece as treatment for your sleep apnea?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
04A - Medical History - Sleep Disorders,Use of CPAP,cpaphist,slscap,Do you sleep with either a pressure mask ('CPAP') or a mouthpiece as treatment for your sleep apnea?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Medical History Form (MrOS 1/MrOS 2),
05 - Medications,5-Lipoxygenase Inhibitor,5lipoxinh,,,,,,,,
05 - Medications,Cholinesterase Inhibitor,cholinh,,,,,,,,
05 - Medications,alpha-Adrenergic Blocker,alphablocker,m1alpha,Alpha-adrenergic blocker use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,alpha-Glucosidase Inhibitor,alphaglucos,,,,,,,,
05 - Medications,Aldosterone Receptor Blocker,aldostblocker,,,,,,,,
05 - Medications,Angiotensin 2 Receptor Blocker,arb,m1arb,Hypotensive agents-angiotensin II use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Angiotensin Converting Enzyme Inhibitor,aceinh,m1ace,Ace inhibitor use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Antiarrhythmic,antiarrhyth,,,,,,,,
05 - Medications,Anticholinergic,antichol,,,,,,,,
05 - Medications,Anti-coagulant,anticoag,m1warf,Anticoagulants-coumarin deriv use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Atypical Antipsychotic,atypicalantipsychot,,,,,,,,
05 - Medications,Benzodiazepine,benzo,m1benzo,Benzodiazepine use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Benzodiazepine,benzo,m1lbenzo,Long acting benzodiazepine use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Benzodiazepine,benzo,m1sbenzo,Short acting benzodiazephine use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Beta 2 Adrenergic Agonist,betaagonist,,,,,,,,
05 - Medications,beta-Adrenergic Blocker,betablocker,m1beta,"Beta blockers, nonopthamalic use",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Biguanide,biguanide,m1hypog,Hypoglycemic agents use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Bile Acid Sequestrant,bileacidseq,,,,,,,,
05 - Medications,Calcium Channel Blocker,calcchanblocker,m1cablok,Calcium channel blocker use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Cardiac Glycoside,digitalis,,,,,,,,
05 - Medications,Central Nervous System Stimulant,cnsstimulant,,,,,,,,
05 - Medications,Corticosteroid,corticoster,m1corti,Inhaled/nasal corticosteroids use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Corticosteroid,corticoster,m1corto,Oral corticosteroids use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Dihydropyridine Calcium Channel Blocker,dhpcalchanblocker,,,,,,,,
05 - Medications,Dipeptidyl Peptidase 4 Inhibitor,dpp4inh,,,,,,,,
05 - Medications,Estrogen,estrogen,,,,,,,,
05 - Medications,GLP-1 Receptor Agonist,glp1agonist,m1hypog,Hypoglycemic agents use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Histamine-2 Receptor Antagonist,h2blocker,m1h2ra,Antiulcer-H2 antagonist use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,HMG-CoA Reductase Inhibitor,hmgcoainh,m1statin,Antilepemic: HMG CoA Reduc(statin) use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Hypercholesterolemia,cholloweragent,m1statin,Antilepemic: HMG CoA Reduc(statin) use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Insulin,insulin,m1insuln,Insulin use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Insulin,insulin,m1hypog,Hypoglycemic agents use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Insulin Analog,insulinanalog,m1insuln,Insulin use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Insulin Analog,insulinanalog,m1hypog,Hypoglycemic agents use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Leukotriene Receptor Antagonist,leukotrantag,,,,,,,,
05 - Medications,Loop Diuretic,loopdiuretic,m1diloop,Loop diuretic use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Low Molecular Weight Heparin,lmwheparin,,,,,,,,
05 - Medications,l-Thyroxine,thyroxine,m1thy,Thyroid agonist use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,l-Triiodothyronine,triiodothy,m1thy,Thyroid agonist use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Monoamine Oxidase Inhibitor,moainhi,m1adepr,Antidepressant use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Monoamine Oxidase Inhibitor,moainhi,m1maoinh,MAO inhibitor antidepressant use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Nicotinic Acid,nicotinicacid,,,,,,,,
05 - Medications,Nitrate Vasodilator,nitrated,m1nitra,Nitrates use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Nonergot Dopamine Agonist,nonergotdopam,,,,,,,,
05 - Medications,Nonsteroidal Anti-inflammatory Drug,nsaid,m1nsaids,NSAID use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Nonsteroidal Anti-inflammatory Drug,nsaid,m1coxii,Cox-II inhibitor use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Phosphodiesterase 5 Inhibitor,phospho5inh,m1pde5,Phosphodiesterase type 5 inhibitor use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Phosphodiesterase 5 Inhibitor,phospho5inh,m1sild,Sildenafil use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Phosphodiesterase 5 Inhibitor,phospho5inh,m1ed,Erectile dysfunction medication use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Platelet Aggregation Inhibitor,plateletedagginh,,,,,,,,
05 - Medications,Potassium Salt,potassiumsalt,,,,,,,,
05 - Medications,Potassium-sparing Diuretic,potassiumspardiur,m1dipota,Potassium-sparing diuretic use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Progestin,progestin,,,,,,,,
05 - Medications,Proton Pump Inhibitor,ppi,m1ppump,Antiulcer-proton pump inhibitor use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Sulfonylurea,sulfonylurea,m1hypog,Hypoglycemic agents use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Sympathomimetic Amine Anorectic,sympathanorect,,,,,,,,
05 - Medications,Sympathomimetic-like Agent,sympathagent,,,,,,,,
05 - Medications,Thiazide Diuretic,thiazide,m1duithx,Thiazide diuretic use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Thiazolidinedione,tzd,m1hypog,Hypoglycemic agents use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Thiazolidinedione,tzd,m1tzd,TZD medication (sub of hypoglycemics) use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Tricyclic Antidepressant,tca,m1adepr,Antidepressant use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Tricyclic Antidepressant,tca,m1tca,Tricyclic antidepressant use,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,,
05 - Medications,Typical Antipsychotic,typicalantipsychot,,,,,,,,
05 - Medications,Unfractionated Heparin,unfractheparin,,,,,,,,
05 - Medications,Vasodilator,vasodilator,,,,,,,,
05 - Medications,Xanthine Oxidase Inhibitor,xanthoxidinh,,,,,,,,
06 - Health Habits,Alcohol consumption,alcohol,tu12drin,"In the past 12 months, have you had at least 12 drinks of any kind of alcoholic beverage?",MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Lifestyle Form (MrOS 1/MrOS 2),
06 - Health Habits,Alcohol consumption,alcohol,tudramt,"On average, how many alcoholic drinks do you consume per week?",MrOS,In Clinic Vistit 1,Reported by subject,,Lifestyle Form (MrOS 1),
06 - Health Habits,Alcohol consumption,alcohol,tudrinwk,"One average, how many alcoholic drinks do you consume per week?",MrOS,In Clinic Visit 2,Reported by subject,,Lifestyle Form (MrOS 2),
06 - Health Habits,Self reported bed time,selfrepbedtime,,,,,,,,
06 - Health Habits,Self reported wake time,selfrepwaketime,,,,,,,,
06 - Health Habits,Self reported sleep duration,selfrepsleepduration,,,,,,,,
06 - Health Habits,Smoking status,smoking,tupipec,Do you currently smoke a pipe or cigars regularly?,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Lifestyle Form (MrOS 1)/(MrOS 2),
06 - Health Habits,Smoking status,smoking,tursmok1,Cigarette smoking now?,MrOS,In Clinic Visit 2,Reported by subject,,Health Questionnaire,
06 - Health Habits,Smoking status,smoking,tursmok2,Cigarette smoking status version 2,MrOS,In Clinic Visit 2,Reported by subject,,Health Questionnaire,
06 - Health Habits,Smoking status,smoking,tursmoke,Do you smoke cigarettes now?,MrOS,In Clinic Vistit 1,Reported by subject,,Lifestyle Form (MrOS 1),
06 - Health Habits,Smoking status,smoking,tusmknow,Do you smoke cigarettes now?,MrOS,In Clinic Vistit 1,Reported by subject,,Lifestyle Form (MrOS 1),
06 - Health Habits,Smoking status,smoking,tusmyrs2,Number of years stopped smoking cigarettes version 2,MrOS,In Clinic Visit 2,Reported by subject,,Health Questionnaire,
06 - Health Habits,Pack years,packyears,tupacky2,Smoke: Cigarette packs per year,MrOS,In Clinic Visit 2,Reported by subject,,Health Questionnaire,
06 - Health Habits,Pack years,packyears,tupacky3,"Smoke: Cigarette pack per year, with time quit smoking removed",MrOS,In Clinic Visit 2,Reported by subject,,Health Questionnaire,
06 - Health Habits,Pack years,packyears,tusmkcgn,About how many cigarettes do you smoke per day?,MrOS,In Clinic Vistit 1,Reported by subject,,Lifestyle Form (MrOS 1),
06 - Health Habits,Caffeine intake,caffeineintake,,,,,,,,
07 - Laboratory Data,Fasting glucose,fastingglucose,,,,,,,,
07 - Laboratory Data,Fasting insulin,fastinginsulin,,,,,,,,
07 - Laboratory Data,HDL cholesterol,hdlchol,,,,,,,,
07 - Laboratory Data,LDL cholesterol,ldlchol,,,,,,,,
07 - Laboratory Data,Total cholesterol,totalchol,,,,,,,,
07 - Laboratory Data,Triglycerides,triglyc,,,,,,,,
07 - Laboratory Data,Hemoglobin A1c,hba1c,,,,,,,,
07 - Laboratory Data,Creatinine,creatinine,,,,,,,,
07 - Laboratory Data,Creatinine clearance,creatinineclear,,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type I,type1sleepstudy,,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type II,type2sleepstudy,,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type III,type3sleepstudy,,,,,,,,
08A1 - Sleep Study Data - Acquisition - Sleep Study Type,Type IV,type4sleepstudy,,,,,,,,
08A2 - Sleep Study Data - Acquisition - Sleep Study Location,Laboratory,labsleepstudy,poenvrou,Environmental outlier - done outside of home,MrOS,In Clinic Vistit 1/In Clinic Visit 2,,,,
08A2 - Sleep Study Data - Acquisition - Sleep Study Location,Home,homesleepstudy,poenvrou,Environmental outlier - done outside of home,MrOS,In Clinic Vistit 1/In Clinic Visit 2,,,,
08B - Sleep Study Data - Time,Duration of sleep study,sleepstudyduration,postdurm,Study length (epoch 1 to last epoch),MrOS,In Home PSG Visit 1/In Home PSG Vsit 2,measured ,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software/PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08B - Sleep Study Data - Time,Sleep duration,sleepduration,pqpsldur,Sleep duration 4 cats-psqi component 3,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Sleep Habits Form (MrOS1/MrOS 2),
08B - Sleep Study Data - Time,Sleep efficiency,sleepefficiency,poslpeff,Sleep efficiency,MrOS,In Home PSG Visit 1/In Home PSG Vsit 2,calculated,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software/PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08B - Sleep Study Data - Time,Sleep efficiency,sleepefficiency,pqpeffcy,Sleep efficiency (continuous variable),MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Sleep Habits Form (MrOS1/MrOS 2),
08B - Sleep Study Data - Time,Sleep efficiency,sleepefficiency,pqpeffic,Sleep efficiency 4 cats-psqi component 4,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Sleep Habits Form (MrOS1/MrOS 2),
08B - Sleep Study Data - Time,Sleep fragmentation index,sleepfragmentindex,,,,,,,,
08B - Sleep Study Data - Time,Sleep maintenance efficiency,sleepmaintefficiency,,,,,,,,
08B - Sleep Study Data - Time,Sleep onset latency,sleeponsetlatency,posllatp,Sleep latency,MrOS,In Home PSG Visit 1/In Home PSG Vsit 2,measured ,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software/PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08B - Sleep Study Data - Time,Sleep onset latency,sleeponsetlatency,pqplaten,Sleep latency-psqi component 2,MrOS,In Clinic Vistit 1/In Clinic Visit 2,Reported by subject,,Sleep Habits Form (MrOS1/MrOS 2),
08B - Sleep Study Data - Time,Sleep onset latency,sleeponsetlatency,poremlat,REM latency I in minutes sleep onset to first REM,MrOS,In Home PSG Visit 1/In Home PSG Vsit 2,measured ,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software/PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08B - Sleep Study Data - Time,Sleep onset latency,sleeponsetlatency,poremli,REM latency I include wake time,MrOS,In Home PSG Visit 1/In Home PSG Vsit 2,measured ,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software/PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08B - Sleep Study Data - Time,Sleep onset latency,sleeponsetlatency,poremlii,REM latency I exclude wake,MrOS,In Home PSG Visit 1,measured ,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software,
08B - Sleep Study Data - Time,Sleep onset latency,sleeponsetlatency,remlaip,REM latency I include wake time,MrOS,n Home PSG Vsit 2,measured ,,PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08B - Sleep Study Data - Time,Time awake after sleep onset,timeawakeaftersleep,,,,,,,,
08B - Sleep Study Data - Time,Time in bed duration,timeinbedduration,potimebd,Time in bed,MrOS,In Home PSG Visit 1/In Home PSG Vsit 2,measured ,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software/PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apnea events,csaevent,,,,,,,,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,,,,,,,,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Average central sleep apnea length,avgcsalength,pocavgdu,Average central apnea length,MrOS,In Home PSG Visit 1/In Home PSG Vsit 2,calculated,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software/PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive sleep apnea events,osaevent,,,,,,,,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive sleeps apneas/hour,osaperhr,,,,,,,,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Average obstructive sleep apnea length,avgosalength,pooavgdu,Average obstructive apnea length,MrOS,In Home PSG Visit 1/In Home PSG Vsit 2,calculated,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software/PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,,,,,,,,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,,,,,,,,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Average hypopnea length,avghypolength,pohavgdu,Average hypopnea length,MrOS,In Home PSG Visit 1/In Home PSG Vsit 2,calculated,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software/PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08C1C - Sleep Study Data - Respiratory - Events - Desaturation,Desaturation events,desatevent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Apnea hypopnea index,ahi,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Apnea hypopnea index greater than or equal to 15,ahigteq15,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index greater than or equal to 5,caigteq5,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index: all desaturations,caiall,pocai0p,Central apnea index all desaturations,MrOS,In Home PSG Visit 1/In Home PSG Vsit 2,calculated,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software/PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index: 4% desaturation,cai4percent,pocai4p,Central apnea index 4% desaturations,MrOS,In Home PSG Visit 1/In Home PSG Vsit 2,calculated,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software/PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index: 4% desaturation or arousal,cai4percentarousal,pocai4pa,Central apnea index 4% or arousal,MrOS,In Home PSG Visit 1/In Home PSG Vsit 2,calculated,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software/PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea hypopnea index: 4% desaturation,oahi4percent,poordi4,Obstructive apnea (all desaturations) hypopnea (4% desaturation) index,MrOS,In Home PSG Visit 1/In Home PSG Vsit 2,calculated,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software/PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: all desaturations,oaiall,pooai0p,Obstructive apnea index all desaturations,MrOS,In Home PSG Visit 1/In Home PSG Vsit 2,calculated,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software/PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: 4% desaturation,oai4percent,pooai4p,Obstructive apnea index 4% desaturations,MrOS,In Home PSG Visit 1/In Home PSG Vsit 2,calculated,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software/PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: 4% desaturation or arousal,oai4percentarousal,pooai4pa,Obstructive apnea index 4% or arousal,MrOS,In Home PSG Visit 1/In Home PSG Vsit 2,calculated,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software/PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: all desaturations,rdiall,pordi0p,Overall RDI at 0% desaturation,MrOS,In Home PSG Visit 1/In Home PSG Vsit 2,calculated,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software/PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: all desaturations or arousal,rdiallarousal,pordi0pa,Overall RDI at 0% desaturation or arousal,MrOS,In Home PSG Visit 1/In Home PSG Vsit 2,calculated,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software/PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 2% desaturation,rdi2percent,pordi2p,Overall RDI at 2% desaturation,MrOS,In Home PSG Visit 1/In Home PSG Vsit 2,calculated,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software/PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 2% desaturation or arousal,rdi2percentarousal,pordi2pa,Overall RDI at 2% desaturation or arousal,MrOS,In Home PSG Visit 1/In Home PSG Vsit 2,calculated,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software/PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 3% desaturation,rdi3percent,pordi3p,Overall RDI at 3% desaturation,MrOS,In Home PSG Visit 1/In Home PSG Vsit 2,calculated,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software/PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 3% desaturation or arousal,rdi3percentarousal,pordi3pa,Overall RDI at 3% desaturation or arousal,MrOS,In Home PSG Visit 1/In Home PSG Vsit 2,calculated,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software/PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 4% desaturation,rdi4percent,pordi4p,Overall RDI at 4% desaturation,MrOS,In Home PSG Visit 1/In Home PSG Vsit 2,calculated,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software/PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 4% desaturation or arousal,rdi4percentarousal,pordi4pa,Overall RDI at 4% desaturation or arousal,MrOS,In Home PSG Visit 1/In Home PSG Vsit 2,calculated,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software/PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 5% desaturation,rdi5percent,pordi5p,Overall RDI at 5% desaturation,MrOS,In Home PSG Visit 1/In Home PSG Vsit 2,calculated,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software/PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 5% desaturation or arousal,rdi5percentarousal,pordi5pa,Overall RDI at 5% desaturation or arousal,MrOS,In Home PSG Visit 1/In Home PSG Vsit 2,calculated,, PSG Visit 1: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 2 Scoring Software/PSG Visit 2: Compumedics Safiro Sleep Monitoring System and ProFusion PSG 3 Scoring Software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: all desaturations,rdisupall,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: 2% desaturation,rdisup2percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: 3% desaturation,rdisup3percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: 4% desaturation,rdisup4percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: 5% desaturation,rdisup5percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: all desaturations,rdinonsupall,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 2% desaturation,rdinonsup2percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 3% desaturation,rdinonsup3percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 4% desaturation,rdinonsup4percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: non-supine: 5% desaturation,rdinonsup5percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM: all desaturations,rdiremall,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 2% desaturation,rdirem2percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 3% desaturation,rdirem3percent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: REM:: 4% desaturation,rdirem4percent,,,,,,,,
