category,display_name,id,mesa,definition,source,time,method,formula,equipment,link
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Central sleep apneas/hour,csaperhr,cardnoa35,"Cent. Apnea Per Hour W/ Arousals (NREM, Other, 3% Desat)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Average central sleep apnea length,avgcsalength,cavgdur5,Avg. Cent. Apnea Length (seconds),MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive sleep apnea events,osaevent,oarop5,"# Of Obs. Apnea (REM, Other, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive sleeps apneas/hour,osaperhr,oardrbp5,"Obs. Apnea Per Hour (REM, Back, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive sleeps apneas/hour,osaperhr,oardnbp5,"Obs. Apnea Per Hour (NREM, Back, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive sleeps apneas/hour,osaperhr,oardnop5,"Obs. Apnea Per Hour (NREM, Other, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive sleeps apneas/hour,osaperhr,oardrba5,"Obs. Apnea Per Hour W/ Arousals (REM, Back, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive sleeps apneas/hour,osaperhr,oardroa5,"Obs. Apnea Per Hour W/ Arousals (REM, Other, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive sleeps apneas/hour,osaperhr,oardnba5,"Obs. Apnea Per Hour W/ Arousals (NREM, Back, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive sleeps apneas/hour,osaperhr,oardnoa5,"Obs. Apnea Per Hour W/ Arousals (NREM, Other, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive sleeps apneas/hour,osaperhr,oardrba35,"Obs. Apnea Per Hour W/ Arousals (REM, Back, 3% Desat)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive sleeps apneas/hour,osaperhr,oardroa35,"Obs. Apnea Per Hour W/ Arousals (REM, Other, 3% Desat)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive sleeps apneas/hour,osaperhr,oardnba35,"Obs. Apnea Per Hour W/ Arousals (NREM, Back, 3% Desat)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Obstructive sleeps apneas/hour,osaperhr,oardnoa35,"Obs. Apnea Per Hour W/ Arousals (NREM, Other, 3% Desat)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1A - Sleep Study Data - Respiratory - Events - Apnea,Average obstructive sleep apnea length,avgosalength,oavgdur5,Avg. Obs. Apnea Length (seconds),MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopnea events,hypopevent,,,,,,,,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdirbp5,"AASM Recommended Hypopnea Per Hour (REM, Back, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdirop5,"AASM Recommended Hypopnea Per Hour (REM, Other, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdinbp5,"AASM Recommended Hypopnea Per Hour (NREM, Back, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdinop5,"AASM Recommended Hypopnea Per Hour (NREM, Other, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdirba5,"AASM Recommended Hypopnea Per Hour W/ Arousals (REM, Back, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdiroa5,"AASM Recommended Hypopnea Per Hour W/ Arousals (REM, Other, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdinba5,"AASM Recommended Hypopnea Per Hour W/ Arousals (NREM, Back, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdinoa5,"AASM Recommended Hypopnea Per Hour W/ Arousals (NREM, Other, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdirba35,"AASM Recommended Hypopnea Per Hour W/ Arousals (REM, Back, 3% Desat)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdiroa35,"AASM Recommended Hypopnea Per Hour W/ Arousals (REM, Other, 3% Desat)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdinba35,"AASM Recommended Hypopnea Per Hour W/ Arousals (NREM, Back, 3% Desat)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,rdinoa35,"AASM Recommended Hypopnea Per Hour W/ Arousals (NREM, Other, 3% Desat)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,hurbp5,"# AASM Alternative Hypopnea Per Hour (REM, Back, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,hurop5,"# AASM Alternative Hypopnea Per Hour (REM, Other, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,hunrbp5,"# AASM Alternative Hypopnea Per Hour (NREM, Back, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,hunrop5,"# AASM Alternative Hypopnea Per Hour (NREM, Other, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,hurbpa5,"# AASM Alternative Hypopnea With Arousal Per Hour (REM, Back, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,huropa5,"# AASM Alternative Hypopnea With Arousal Per Hour (REM, Other, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,hunrbpa5,"# AASM Alternative Hypopnea With Arousal Per Hour (NREM, Back, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,hunropa5,"# AASM Alternative Hypopnea With Arousal Per Hour (NREM, Other, All Desats)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,hurbp25,"# AASM Alternative Hypopnea Per Hour (REM, Back, 2% Desat)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,hurbpa35,"# AASM Alternative Hypopnea With Arousal Per Hour (REM, Back, 3% Desat)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,huropa35,"# AASM Alternative Hypopnea With Arousal Per Hour (REM, Other, 3% Desat)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,hunrbpa35,"# AASM Alternative Hypopnea With Arousal Per Hour (NREM, Back, 3% Desat)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Hyopopneas/hour,hypopperhr,hunropa35,"# AASM Alternative Hypopnea With Arousal Per Hour (NREM, Other, 3% Desat)",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1B - Sleep Study Data - Respiratory - Events - Hypopnea,Average hypopnea length,avghypolength,hbavgdur5,PSG: Filtered - Avg. Hypopnea Length (seconds),MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C1C - Sleep Study Data - Respiratory - Events - Desaturation,Desaturation events,desatevent,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Apnea hypopnea index,ahi,a0h3ai5,All Apneas + Hypopneas With >=3% Desat Or Arousal – Index (AHI),MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Apnea hypopnea index,ahi,ahi4pa5,AHI: Obstructive And Central Apneas (All Desats);  30% And 50% Hypopneas (4% Desat Or Arousal),MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Apnea hypopnea index,ahi,ahi4p5,AHI: Obstructive And Central Apneas (All Desats); 30% And 50% Hypopneas (4% Desat),MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Apnea hypopnea index,ahi,ahi4pa_rem5,AHI: Obstructive And Central Apneas (All Desats);  30% And 50% Hypopneas (4% Desat Or Arousal)  Index In REM,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Apnea hypopnea index,ahi,ahi4pa_nrem5,AHI: Obstructive And Central Apneas (All Desats);  30% And 50% Hypopneas (4% Desat Or Arousal)  Index In NREM,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Apnea hypopnea index,ahi,ahi4pa_sup5,AHI: Obstructive And Central Apneas (All Desats);  30% And 50% Hypopneas (4% Desat Or Arousal) Index Supine,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Apnea hypopnea index,ahi,ahi4pa_nsup5,AHI: Obstructive And Central Apneas (All Desats);  30% And 50% Hypopneas (4% Desat Or Arousal) Index Non Supine,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Apnea hypopnea index,ahi,ahi4p_rem5,AHI: Obstructive And Central Apneas (All Desats); 30% And 50% Hypopneas (4% Desat) Index In REM,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Apnea hypopnea index,ahi,ahi4p_nrem5,AHI: Obstructive And Central Apneas (All Desats); 30% And 50% Hypopneas (4% Desat) Index In NREM,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Apnea hypopnea index,ahi,ahi4p_sup5,AHI: Obstructive And Central Apneas (All Desats); 30% And 50% Hypopneas (4% Desat) Index Supine,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Apnea hypopnea index,ahi,ahi4p_nsup5,AHI: Obstructive And Central Apneas (All Desats); 30% And 50% Hypopneas (4% Desat)  Index Non Supine,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Apnea hypopnea index greater than or equal to 15,ahigteq15,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index greater than or equal to 5,caigteq5,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index: all desaturations,caiall,cai0p5,Calculated - Central Apnea Index All Desats,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index: all desaturations,caiall,cai0p_rem5,Central Apnea Index In REM: All Central Apneas,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index: all desaturations,caiall,cai0p_nrem5,Central Apnea Index In NREM: All Central Apneas,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index: all desaturations,caiall,cai0p_sup5,Central Apnea Index In Supine Position: All Central Apneas,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index: all desaturations,caiall,cai0p_nsup5,Central Apnea Index In Non-Supine Position: All Central Apneas,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index: 4% desaturation,cai4percent,cai4p5,Calculated - Central Apnea Index 4% Desats,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Central apnea index: 4% desaturation or arousal,cai4percentarousal,cai4pa5,Calculated - Central Apnea Index 4% Or Arousal,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea hypopnea index: 4% desaturation,oahi4percent,oahi4pa_rem5,Obstructive Apnea/Hypopnea 4% Index (Or Arousal) In REM: All Obstructive Apneas And Hypopneas With A >=4% Desat Or Arousal,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea hypopnea index: 4% desaturation,oahi4percent,oahi4pa_nrem5,Obstructive Apnea/Hypopnea 4% Index (Or Arousal) In NREM: All Obstructive Apneas And Hypopneas With A >=4% Desat Or Arousal,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea hypopnea index: 4% desaturation,oahi4percent,oahi4pa_sup5,Obstructive Apnea/Hypopnea 4% Index (Or Arousal) In Supine Position: All Obstructive Apneas And Hypopneas With A >=4% Desat Or Arousal,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea hypopnea index: 4% desaturation,oahi4percent,oahi4pa_nsup5,Obstructive Apnea/Hypopnea 4% Index (Or Arousal) In Non-Supine Position: All Obstructive Apneas And Hypopneas With A >=4% Desat Or Arousal,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: all desaturations,oaiall,oahi35,Calculated - Obstructive Apnea (All Desats); AASM Recommended And Alternative  Hypopnea (3% Desat) Index,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: all desaturations,oaiall,oai0p5,Calculated - Obstructive Apnea Index All Desats,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: all desaturations,oaiall,oahi45,"Calculated - Obstructive Apnea (All Desats), AASM Recommended And Alternative Hypopnea (4% Desat) Index",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: all desaturations,oaiall,oahi3pa5,Calculated - Obstructive Apnea (All Desats) AASM Recommended And Alternative Hypopnea (3% Desat Or Arousal) Index,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: all desaturations,oaiall,oahi4pa5,Calculated - Obstructive Apnea (All Desats) AASM Recommended And Alternative Hypopnea (4% Desat Or Arousal) Index,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: all desaturations,oaiall,oahi3_rem5,Calculated - Obstructive Apnea ( All Desats); 30% And 50% Hypopnea ( 3% Desat) Index In REM,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: all desaturations,oaiall,oahi3_nrem5,Calculated - Obstructive Apnea ( All Desats); 30% And 50% Hypopnea ( 3% Desat) Index In NREM,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: all desaturations,oaiall,oahi3_sup5,Calculated - Obstructive Apnea (All Desats); 30% And 50%  Hypopnea (3% Desat) Index Supine,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: all desaturations,oaiall,oahi3_nsup5,Calculated - Obstructive Apnea (All Desats); 30% And 50% Hypopnea (3% Desat) Index Non Supine,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: 4% desaturation,oai4percent,oahi45,"Calculated - Obstructive Apnea (All Desats), AASM Recommended And Alternative Hypopnea (4% Desat) Index",MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: 4% desaturation,oai4percent,oahi4pa5,Calculated - Obstructive Apnea (All Desats) AASM Recommended And Alternative Hypopnea (4% Desat Or Arousal) Index,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: 4% desaturation,oai4percent,oai4p5,Calculated - Obstructive Apnea Index 4% Desats,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: 4% desaturation,oai4percent,oahi4_rem5,Calculated - Obstructive Apnea (All Desats); 30% And 50% Hypopnea (4% Desat) Index In REM,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: 4% desaturation,oai4percent,oahi4_nrem5,Calculated - Obstructive Apnea (All Desats); 30 % And 50% Hypopnea (4% Desat) Index In NREM,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: 4% desaturation,oai4percent,oahi4_sup5,Calculated - Obstructive Apnea (All Desats); 30% And 50% Hypopnea ( 4% Desat) Index Supine,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: 4% desaturation,oai4percent,oahi4_nsup5,Calculated - Obstructive Apnea (All Desats); 30% And 50% Hypopnea (4% Desat) Index Non Supine,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Obstructive apnea index: 4% desaturation or arousal,oai4percentarousal,,,,,,,,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: all desaturations,rdiall,rdi0p5,Calculated - Overall RDI At 0% Desat,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: all desaturations or arousal,rdiallarousal,rdi0pa5,Calculated - Overall RDI At 0% Desat Or Arousal,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 2% desaturation,rdi2percent,rdi2p5,Calculated - Overall RDI At 2% Desat,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 2% desaturation or arousal,rdi2percentarousal,rdi2pa5,Calculated - Overall RDI At 2% Desat Or Arousal,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 3% desaturation,rdi3percent,rdi3p5,Calculated - Overall RDI At 3% Desat,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 3% desaturation or arousal,rdi3percentarousal,rdi3pa5,Calculated - Overall RDI At 3% Desat Or Arousal,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 4% desaturation,rdi4percent,rdi4p5,Calculated - Overall RDI At 4% Desat,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 4% desaturation or arousal,rdi4percentarousal,rdi4pa5,Calculated - Overall RDI At 4% Desat Or Arousal,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 5% desaturation,rdi5percent,rdi5p5,Calculated - Overall RDI At 5% Desat,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: 5% desaturation or arousal,rdi5percentarousal,rdi5pa5,Calculated - Overall RDI At 5% Desat Or Arousal,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: all desaturations,rdisupall,rdi0ps5,Calculated - Overall Supine RDI At 0% Desat,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
08C2 - Sleep Study Data - Respiratory - Indices,Respiratory disturbance index: supine: 2% desaturation,rdisup2percent,rdi2ps5,Calculated - Overall Supine RDI At 2% Desat,MESA,Exam 5,Calculated,,Exam 5: Compumedics Somte Recording System; Compumedics ProFusion PSG 3 scoring software,
